"Triebzug­nummer, Namens­gebung","Indienst­stellung
 Redesign
(Aktueller Status)",Auslands­zulassungen und Beson­derheiten,Umbauten oder Umrüstungen,"Unfälle oder besondere Vorkommnisse
 Allgemeine Bemerkungen"
Tz 9460,7. Juni 2021,"Schweiz, Österreich, 
265 km/h",Endwagen 7812 238 anstelle von 5812 060 (seit 6. November 2025),"Am 11. Februar 2025 kollidierte der Triebzug als Zugfahrt ICE 613 auf einem halbbeschrankten Bahnübergang in der Nähe des Bahnhofes Hamburg-Harburg mit einem LKW. Bei dem Unfall wurde mehrere Personen verletzt, eine davon tödlich."
Tz 9461,19. Mai 2021,"Schweiz, Österreich,
265 km/h",Endwagen 6812 238 anstelle von 0812 061 (von Januar 2023 bis Oktober 2024),Am Morgen des 13.12.22 wurde der Zug in einem schweren Bahnübergangsunfall bei Hamburg verwickelt. Ein Radsatz des ersten Drehgestells entgleiste dabei.
Tz 9462,25. Juni 2021,"Schweiz, Österreich, 
265 km/h",Endwagen 0812 061 (vom Tz 9461) anstelle von 0812 062 (von Dezember 2023 bis Oktober 2024),"Am Nachmittag des 15. November 2023 kollidierte dieser Triebzug im Bahnhof Lauenbrück, im Bereich einer Weiche, trotz eingeleiteter Schnellbremsung mit etwa 50 km/h mit der Flanke eines ins Gleis ragenden Regionalzuges. Von den etwa 550 Fahrgästen und Bediensteten wurde niemand verletzt. Der Regionalzug befand sich auf einer Leerfahrt. Der Triebzug war als ICE 615 von Hamburg nach München unterwegs. Der Triebzug wurde am führenden Fahrzeug (0812 062) schwer beschädigt."
Tz 9463,19. Juli 2021,"Schweiz, Österreich,
265 km/h",,
Tz 9464,5. Juli 2021,"Schweiz, Österreich, 
265 km/h",,"Dieser Triebzug kollidierte am 16. April 2024 als Zugfahrt ICE 614 in Worms Hauptbahnhof seitlich mit einer Rangierfahrt. Die ersten fünf Wagen (0812 04, 1812 064, 1412 064, 8812 064, 6412 064) des Triebzuges wurden dabei seitlich beschädigt. Vier Reisende erlitten leichte Verletzungen."
Tz 9465,16. August 2021,"Schweiz, Österreich,
265 km/h",,
Tz 9466,30. August 2021,"Schweiz,
265 km/h","ohne Wagen 2412 766 (16. September 2021 bis 11. Juni 2022)
Wagen 0812 049 und 1812 049 statt Wagen 0812 066 und 1812 066 (von Februar bis Juli 2023)",
Tz 9467,2. August 2021,"Schweiz, Österreich,
265 km/h",,
Tz 9468,13. September 2021,"Schweiz, Österreich,
265 km/h",,"Mit diesem Triebzug wurde im Januar und Februar 2022 die neue Fahrzeugsoftware auf dem Prüfcenter Wegberg-Wildenrath erprobt. Nach Abschluss der Erprobung und Zulassung ging er am 20. Februar 2022 in den Fahrgasteinsatz, wurde allerdings wieder auf 250 km/h zurückgestuft."
Tz 9469,27. September 2021,"Schweiz, Österreich,
265 km/h",,
Tz 9470,25. Oktober 2021,"Schweiz, Österreich,
265 km/h",,
Tz 9471,11. Oktober 2021,"Schweiz, Österreich,
265 km/h",ohne Wagen 2412 571 (21. Februar 2025 bis April 2025),
Tz 9472,8. November 2021,"Schweiz,
265 km/h",Wagen 1412 036 anstelle Wagen 1412 072 (von 20. Oktober 2023 bis 4. Dezember 2023),
Tz 9473,23. November 2021,"Schweiz, Österreich,
265 km/h",,
Tz 9474,6. Dezember 2021,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 21. Januar 2022 als ICE 691 Berlin–Frankfurt–München
Tz 9475,20. Dezember 2021,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 5. Februar 2022 als ICE 501 Berlin–Nürnberg–München
Tz 9476,30. Dezember 2021,"Schweiz, Österreich,
265 km/h",Endwagen 6812 212 anstelle von 0812 076 (von 5. Juni bis 6. Juli 2022),erste Fahrt am 27. Februar 2022 als ICE 1091 Berlin–Frankfurt–Stuttgart
Tz 9477,31. Januar 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 13. März 2022 als ICE 373 Berlin–Frankfurt–Interlaken
Tz 9478,21. Februar 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 10. April 2022 als ICE 597 Berlin–Frankfurt–München
Tz 9479,7. März 2022,"Schweiz, Österreich,
265 km/h",ohne Wagen 2412 779 (10. Oktober 2025 bis 10. Dezember 2025),erste Fahrt am 16. April 2022 als ICE 277 Berlin–Frankfurt–Rastatt
Tz 9480,28. März 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 7. Mai 2022 als ICE 377 Berlin–Frankfurt–Basel
"Tz 9481 
Rheinland-Pfalz
(seit 18. Juli 2022)",11. April 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 21. Mai 2022 als ICE 277 Berlin–Frankfurt–Basel
Tz 9482,2. Mai 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 9. Juni 2022 als ICE 518 München–Köln–Hamburg
Tz 9483,18. Mai 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 16. Juli 2022 als ICE 595 Berlin–Frankfurt–München
Tz 9484,1. Juni 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 19. Juli 2022 als ICE 275 Berlin–Frankfurt–Interlaken
Tz 9485,27. Juni 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 6. August 2022 als ICE 593 Berlin–Frankfurt–München
Tz 9486,11. Juli 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 20. August 2022 als ICE 593 Berlin–Frankfurt–München
Tz 9487,26. Juli 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 10. September 2022 als ICE 373 Berlin–Frankfurt–Interlaken
"Tz 9488
Würzburg",15. August 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 24. September 2022 als ICE 377 Berlin–Frankfurt–Basel
Tz 9489,29. August 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 9. Oktober 2022 als ICE 277 Berlin–Frankfurt–Basel
Tz 9490,19. September 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 29. Oktober 2022 als ICE 877 Berlin–Frankfurt–Karlsruhe
Tz 9491,10. Oktober 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 19. November 2022 als ICE 597 Berlin–Frankfurt–Stuttgart–München
Tz 9492,24. Oktober 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 3. Dezember 2022 als ICE 279 Berlin–Frankfurt–Basel
Tz 9493,7. November 2022,"Schweiz, Österreich, 
265 km/h",,erste Fahrt am 18. Dezember 2022 als ICE 277 Berlin–Frankfurt–Basel
Tz 9494,21. November 2022,"Schweiz, Österreich, 
265 km/h",,erste Fahrt am 13. Januar 2023 als ICE 844 Berlin-Köln
Tz 9495,12. Dezember 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 28. Januar 2023 als ICE 371 Berlin–Frankfurt–Basel
Tz 9496,27. Dezember 2022,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 12. Februar 2023 als ICE 277 Berlin–Frankfurt–Basel
Tz 9497,16. Januar 2023,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 25. Februar 2023 als ICE 279 Berlin–Frankfurt–Basel
Tz 9498,7. Februar 2023,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 19. März 2023 als ICE 279 Berlin–Frankfurt–Basel
"Tz 9499 
Matterhorn
(ab 14. Dezember 2025)",22. Februar 2023,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 8. April 2023 als ICE 573 Berlin–Frankfurt–Stuttgart
Tz 9500,13. März 2023,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 21. April 2023 als ICE 2906 von Berlin nach Hamburg
